"<a href=""https://en.wikipedia.org/wiki/Abyssal_plain"" title=""Abyssal plain"">abyssal plain</a>"|"
<dd class=""glossary"">Flat or very gently sloping areas of the deep ocean basin floor.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Calcrete"" class=""mw-redirect"" title=""Calcrete"">calcrete</a>"|"
<dd class=""glossary"">1.&#160;&#160;A <a href=""#conglomerate""><span title=""See entry on this page at § conglomerate"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">conglomerate</span></a> of surficial sand and gravel cemented by <a href=""https://en.wikipedia.org/wiki/Calcium_carbonate"" title=""Calcium carbonate"">calcium carbonate</a> precipitated from solution.</dd>
<dd class=""glossary"">2.&#160;&#160;A <a href=""#calcareous""><span title=""See entry on this page at § calcareous"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">calcareous</span></a> <a href=""#duricrust""><span title=""See entry on this page at § duricrust"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">duricrust</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Caldera"" title=""Caldera"">caldera</a>"|"
<dd class=""glossary"">A volcanic feature formed by the collapse of land following a volcanic eruption.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Cambrian"" title=""Cambrian"">Cambrian</a>"|"
<dd class=""glossary"">The earliest geologic <a href=""#period""><span title=""See entry on this page at § period"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">period</span></a> of the <a href=""#paleozoic""><span title=""See entry on this page at § Paleozoic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Paleozoic Era</span></a>, lasting from 541.0 ± 1.0 to 485.4 ± 1.9 million years ago and succeeded by the <a href=""#ordovician""><span title=""See entry on this page at § Ordovician"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Ordovician</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Carbon_film"" class=""mw-redirect"" title=""Carbon film"">carbon film</a>"|"
<dd class=""glossary"">A type of <a href=""#fossil""><span title=""See entry on this page at § fossil"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">fossil</span></a> or preservation.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Carbonate"" title=""Carbonate"">carbonate</a>"|"
<dd class=""glossary"">A salt or ester of <a href=""https://en.wikipedia.org/wiki/Carbonic_acid"" title=""Carbonic acid"">carbonic acid</a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Carbonate_hardgrounds"" title=""Carbonate hardgrounds"">carbonate hardgrounds</a>"|"
<dd class=""glossary"">Surfaces of synsedimentarily-cemented carbonate layers that have been exposed on the seafloor.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Casting_(geology)"" class=""mw-redirect"" title=""Casting (geology)"">casting</a>"|"
<dd class=""glossary"">The process which occurs when a liquid fills a cavity and then solidifies. If the cavity originated from the decomposition of dead organisms, casting may result in the formation of <a href=""#fossil""><span title=""See entry on this page at § fossil"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">fossils</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Cenozoic_Era"" class=""mw-redirect"" title=""Cenozoic Era"">Cenozoic Era</a>"|"
<dd class=""glossary"">The most recent of the geological eras, which followed the <a href=""#mesozoic_Era""><span title=""See entry on this page at § Mesozoic Era"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Mesozoic Era</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Chalk"" title=""Chalk"">chalk</a>"|"
<dd class=""glossary"">A soft, white, porous <a href=""#sedimentary_rock""><span title=""See entry on this page at § sedimentary rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sedimentary rock</span></a>, a form of <a href=""#limestone""><span title=""See entry on this page at § limestone"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">limestone</span></a> composed of <a href=""#calcite""><span title=""See entry on this page at § calcite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">calcite</span></a> <a href=""#coccolith""><span title=""See entry on this page at § coccolith"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">coccolith</span></a> plates.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Chert"" title=""Chert"">chert</a>"|"
<dd class=""glossary"">A fine-grained, <a href=""https://en.wikipedia.org/wiki/Silica"" class=""mw-redirect"" title=""Silica"">silica</a>-rich, <a href=""#microcrystalline""><span title=""See entry on this page at § microcrystalline"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">microcrystalline</span></a>, <a href=""#cryptocrystalline""><span title=""See entry on this page at § cryptocrystalline"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">cryptocrystalline</span></a> or microfibrous <a href=""#sedimentary_rock""><span title=""See entry on this page at § sedimentary rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sedimentary rock</span></a> that sometimes contains small <a href=""#fossil""><span title=""See entry on this page at § fossil"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">fossils</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Chlorite"" title=""Chlorite"">chlorite</a>"|"
<dd class=""glossary"">Any of a set of allied <a href=""#mineral""><span title=""See entry on this page at § mineral"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">minerals</span></a> which may be regarded as hydrated <a href=""#silicate""><span title=""See entry on this page at § silicate"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">silicates</span></a> of <a href=""https://en.wikipedia.org/wiki/Aluminium"" title=""Aluminium"">aluminium</a>, <a href=""https://en.wikipedia.org/wiki/Iron"" title=""Iron"">iron</a>, and <a href=""https://en.wikipedia.org/wiki/Magnesium"" title=""Magnesium"">magnesium</a>. They crystallise in the <a href=""#monoclinic""><span title=""See entry on this page at § monoclinic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">monoclinic</span></a> system and are green in colour. They occur as alteration products of such minerals as <a href=""#biotite""><span title=""See entry on this page at § biotite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">biotite</span></a> and <a href=""#hornblende""><span title=""See entry on this page at § hornblende"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">hornblende</span></a>, and also in schistose rocks.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Clast"" class=""mw-redirect"" title=""Clast"">clast</a>"|"
<dd class=""glossary"">Any individual constituent grain or fragment of a sediment or rock produced by mechanical <a href=""#weathering""><span title=""See entry on this page at § weathering"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">weathering</span></a> of a rock mass.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Clastic_rocks"" class=""mw-redirect"" title=""Clastic rocks"">clastic rocks</a>"|"
<dd class=""glossary"">Mechanically redeposited remains of eroded older rocks; rocks formed of fragments, or <a href=""#clast""><span title=""See entry on this page at § clast"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">clasts</span></a>, of pre-existing rocks.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Clay"" title=""Clay"">clay</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Cleavage_(geology)"" title=""Cleavage (geology)"">cleavage</a>"|"
<dd class=""glossary"">The tendency of a rock to break along preferred planes of weakness, caused by the development of a planar fabric as a result of deformation.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Cobble_(geology)"" title=""Cobble (geology)"">cobble</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Coccolith"" title=""Coccolith"">coccolith</a>"|"
<dd class=""glossary"">An individual plate of <a href=""https://en.wikipedia.org/wiki/Calcium_carbonate"" title=""Calcium carbonate"">calcium carbonate</a> formed by <a href=""#coccolithophore""><span title=""See entry on this page at § coccolithophore"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">coccolithophores</span></a> which are arranged around them in a so-called <i>coccosphere</i>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Coccolithophore"" title=""Coccolithophore"">coccolithophore</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Also called a <b>coccolithophorid</b>.</span></p>
<dd class=""glossary"">A type of <a href=""https://en.wikipedia.org/wiki/Microfossil"" class=""mw-redirect"" title=""Microfossil"">microfossil</a> of single-celled <a href=""https://en.wikipedia.org/wiki/Algae"" title=""Algae"">algae</a>, <a href=""https://en.wikipedia.org/wiki/Protist"" title=""Protist"">protists</a> and <a href=""https://en.wikipedia.org/wiki/Phytoplankton"" title=""Phytoplankton"">phytoplankton</a> belonging to the division of <a href=""https://en.wikipedia.org/wiki/Haptophyte"" title=""Haptophyte"">haptophytes</a>. These fossils are distinguished by special <a href=""https://en.wikipedia.org/wiki/Calcium_carbonate"" title=""Calcium carbonate"">calcium carbonate</a> plates called <a href=""#coccolith""><span title=""See entry on this page at § coccolith"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">coccoliths</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Compaction_(geology)"" title=""Compaction (geology)"">compaction</a>"|"
<dd class=""glossary"">The process by which a newly deposited sediment progressively loses its original water content due to the effects of loading. This forms part of the process of <a href=""#lithification""><span title=""See entry on this page at § lithification"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">lithification</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Compression_(geology)"" title=""Compression (geology)"">compression</a>"|"
<dd class=""glossary"">The process by which rocks shorten or decrease in volume when exposed to certain forces.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Conchoidal"" class=""mw-redirect"" title=""Conchoidal"">conchoidal</a>"|"
<dd class=""glossary"">A type of <a href=""#fracture""><span title=""See entry on this page at § fracture"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">fracture</span></a> that results in smoothly curved surface faces.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Concretion"" title=""Concretion"">concretion</a>"|"
<dd class=""glossary"">A volume of <a href=""#sedimentary_rock""><span title=""See entry on this page at § sedimentary rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sedimentary rock</span></a> in which a mineral cement fills the porosity (i.e. the spaces between the sediment grains).</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Conglomerate_(geology)"" title=""Conglomerate (geology)"">conglomerate</a>"|"
<dd class=""glossary"">Any type of rock consisting of individual stones that have become cemented together.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Contact_metamorphism"" class=""mw-redirect"" title=""Contact metamorphism"">contact metamorphism</a>"|"
<dd class=""glossary"">Metamorphism due to the local heating of rocks by the intrusion of magma nearby.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Continental_crust"" title=""Continental crust"">continental crust</a>"|"
<dd class=""glossary"">The layer of granitic, sedimentary, and metamorphic rocks which form the parts of the Earth's <a href=""#crust""><span title=""See entry on this page at § crust"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">crust</span></a> that comprise the continents and the areas of shallow seabed close to their shores known as <a href=""#continental_shelf""><span title=""See entry on this page at § continental shelf"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">continental shelves</span></a>.</dd>
"
